sequence,task_id,mode,condition,skill_version,status,model,reasoning_effort,elapsed_seconds,elapsed_precision,characters,unique_urls,domains,strong_insights,top3_depth_mean,decision_score,report_path,notes
1,discovery-01-ai-meeting-assistants,discovery,default,none,included,gpt-5.6-terra,high,206,minute-level,9884,19,10,4,3.67,,../decision-research-l1-pilot/output/development/discovery-01-ai-meeting-assistants/default/run-01/research-report.md,Recovered original
1,discovery-01-ai-meeting-assistants,discovery,decision-research,v0.1,included,gpt-5.6-terra,high,558,minute-level,12979,11,7,4,4,,../decision-research-l1-pilot/output/development/discovery-01-ai-meeting-assistants/decision-research-v0.1/run-01/research-report.md,Explicit Skill invocation
2,discovery-02-smart-band,discovery,default,none,included,gpt-5.6-terra,high,172,minute-level,6744,13,11,5,3.33,,../decision-research-l1-pilot/output/development/discovery-02-smart-band/default/run-01/research-report.md,Clean baseline
2,discovery-02-smart-band,discovery,decision-research,v0.1,excluded_contaminated,gpt-5.6-terra,high,240,minute-level,5604,11,7,,,,../decision-research-l1-pilot/output/development/discovery-02-smart-band/excluded/decision-research-v0.1-contaminated/research-report.md,Read and revised an existing output; never include in formal means
2,discovery-02-smart-band,discovery,decision-research,v0.2,included,gpt-5.6-terra,high,203,,5406,11,4,,,,../decision-research-l1-pilot/output/development/discovery-02-smart-band/decision-research-v0.2/run-01/research-report.md,Clean regression; elapsed not recorded
3,discovery-03-embodied-intelligence,discovery,default,none,included,gpt-5.6-terra,high,210,approximate,6895,11,7,5,,,../explore-topic-pilot/output/development/discovery-03-embodied-intelligence/default/run-01/research-report.md,Three-way development comparison
3,discovery-03-embodied-intelligence,discovery,decision-research,v0.2,included,gpt-5.6-terra,high,239,approximate,10462,17,12,4,,,../explore-topic-pilot/output/development/discovery-03-embodied-intelligence/decision-research-v0.2/run-01/research-report.md,Thick Skill
3,discovery-03-embodied-intelligence,discovery,explore-topic,thin-v0.1,included,gpt-5.6-terra,high,179,exact,8099,18,11,5,,,../explore-topic-pilot/output/development/discovery-03-embodied-intelligence/explore-topic/run-01/research-report.md,Thin Skill
4,decision-01-eu-voice-architecture,decision,default,none,included,gpt-5.6-terra,high,198,exact,6727,7,5,,,35/36,../decision-research-l1-pilot/output/development/decision-01-eu-voice-architecture/default/run-01/research-report.md,Blinded as candidate Y
4,decision-01-eu-voice-architecture,decision,decision-research,v0.2,included,gpt-5.6-terra,high,242,exact,8017,9,6,,,36/36,../decision-research-l1-pilot/output/development/decision-01-eu-voice-architecture/decision-research-v0.2/run-01/research-report.md,Blinded as candidate X
