id,claim,status,evidence_url,source_date,scope,source_level,support,confidence,decision_impact,counterevidence,notes
C1,"Google Meet can create and distribute AI meeting notes through Docs and Calendar for eligible subscriptions.",fact,https://support.google.com/meet/answer/14754931,,Google Meet,primary-fact,direct,high,"Basic note delivery is suite-native.","Eligibility and language limits apply.","Undated current help page; accessed 2026-07-19."
C2,"Teams Facilitator provides real-time notes and preview task-management capabilities for eligible scheduled meetings.",fact,https://support.microsoft.com/en-us/teams/copilot/facilitator-in-microsoft-teams-meetings,,Teams,primary-fact,direct,high,"Native meeting agents cover more than summaries.","Task capability is public preview.","Undated current support page; accessed 2026-07-19."
C3,"Zoom includes core AI Companion capabilities with eligible paid Zoom Workplace services.",fact,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0059115,,Zoom Workplace,primary-fact,direct,high,"Standalone summary faces bundling pressure.","Plans regions and add-ons differ.","Undated current support page; accessed 2026-07-19."
C4,"Zoom AI Companion can join eligible Google Meet and Microsoft Teams meetings as a participant.",fact,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0080354,,Eligible Zoom Workplace plans,primary-fact,direct,high,"Cross-platform access is no longer independent-tool-only.","Requires plan integrations and configuration.","Undated current support page; accessed 2026-07-19."
C5,"Fireflies supports both calendar-driven bot capture and system-audio capture with different feature availability.",fact,https://guide.fireflies.ai/articles/2679406774-live-assist-sales-assist-fireflies-desktop-app-real-time-notes-answers-suggestions,2026-07-14,Fireflies desktop,primary-fact,direct,high,"Capture mode changes product value and trust tradeoffs.","Some functionality requires a bot.","Relative page date converted using 2026-07-19 access date."
C6,"Notion requires consent confirmation and exposes audio permission retention and workspace-control considerations.",fact,https://www.notion.com/help/ai-meeting-notes,,Notion AI Meeting Notes,primary-fact,direct,high,"Governance is a product workflow.","Not a jurisdiction-specific compliance proof.","Undated current help page; accessed 2026-07-19."
C7,"Zoom templates and Asana workflows support formatting and creating work from meeting content.",fact,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0080366,,Zoom templates,primary-fact,direct,high,"Task generation alone is covered by incumbent workflows.","Creation does not prove correct ownership or completion.","Asana workflow is a second direct source in the report."
C8,"The more promising gap to test is commitment verification plus evidence and governance rather than generic summarization.",inference,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0059115,,Knowledge-work collaboration,mixed,indirect,medium,"Prioritize a commitment-loop prototype.","Specialized capture may still win on quality deployment or vertical workflow.","Derived from C1-C7; direct source is representative rather than sole premise."
C9,"Bot native and system-audio capture have materially different visibility permission and feature tradeoffs.",inference,https://guide.fireflies.ai/articles/2679406774-live-assist-sales-assist-fireflies-desktop-app-real-time-notes-answers-suggestions,2026-07-14,Virtual and hybrid meetings,mixed,indirect,medium,"Test a policy-explained capture selector.","Users may prefer one global default.","Derived also from C2 C4 and C6."
C10,"A public user report indicates configuration and output review can be a point of friction.",fact,https://support.google.com/meet/thread/334571215/transcriptions-of-my-meetings-are-missing-when-gemini-s-note-taking-features-is-turned-on-by-default?hl=en,2025-03-29,Single community post,lead-only,direct,low,"Do not assume automatic output needs no review.","One report is not prevalence evidence.","Lead only."
C11,"Evidence-linked human confirmation of candidate commitments is the highest-priority product hypothesis.",hypothesis,https://arxiv.org/abs/2509.03392,2025-09,Team project meetings,mixed,none,low,"Run a direct-draft versus confirm-first experiment.","Review time may eliminate the benefit.","Paper is lecture note-taking not meetings; product premises are C2 C7 C10."
C12,"Public sources do not establish adoption productivity or willingness to pay for any proposed opportunity.",fact,https://support.google.com/meet/answer/14754931,,Whole research scope,unknown,none,high,"Require behavioral tests before investment.","Future telemetry or field study could overturn this.","Evidence-type audit across the ledger."
